release_path	classification	public_role	scientific_scope	source_path	source_authority	generation_method	size_bytes	sha256	inclusion_reason
governance/RELEASE_GOVERNANCE_PRECEDENCE.md	GOVERNANCE	scope and authority	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	4222	330501fa24f3528bcbaa8f0ca077d006934f5fcf648b68f4a4aea8833e81eeca	Required to understand, inspect, or reuse the frozen v6 package
governance/repository_version_state_v6_final.json	GOVERNANCE	final state record	public package documentation	final assembly	final assembly	generated after manifest finalization	SEE_CHECKSUM_INDEX	SEE_CHECKSUM_INDEX	Binds snapshot to source state
governance/V6_FINAL_CLAIM_SAFETY_AUDIT.md	GOVERNANCE	scope and authority	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	764	6a4a803ed74e8af3c57cbfbfecb443998a36f33eaf72174aa1214a78972b3b27	Required to understand, inspect, or reuse the frozen v6 package
governance/v6_final_figure_table_registry.tsv	GOVERNANCE	scope and authority	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	2145	42c821cfa0af6ba6b99aad2c98e29fa1b13988bcebe844a9b10b1d58b1f2366b	Required to understand, inspect, or reuse the frozen v6 package
governance/v6_final_manuscript_number_registry.tsv	GOVERNANCE	scope and authority	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	1646	e980ed3a0681d399e6a78ed4962922a22f71d58eb95cd0d5d0fed09cea3051bb	Required to understand, inspect, or reuse the frozen v6 package
governance/V6_FINAL_REFERENCE_CHECK.md	GOVERNANCE	scope and authority	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	417	2314e6540ba742cad33a683ade58feecf04b3944605a4fcdd980bed0fada93fa	Required to understand, inspect, or reuse the frozen v6 package
LICENSE	RELEASE_METADATA	release metadata	public package documentation	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	1083	4e13860678fbbead65294c28fc52f8348f05bf5bd230890b8d4b9b9b9b6635c1	Required to understand, inspect, or reuse the frozen v6 package
manuscript/LOX_thymus_aging_public_preprint_v6_final.docx	MANUSCRIPT	publication artifact	frozen transcript-level manuscript	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	433307	209f640412a0b2dfc561c3b6fc6529d8e5af10498c4f8116f9cdcd677d349338	Required to understand, inspect, or reuse the frozen v6 package
manuscript/LOX_thymus_aging_public_preprint_v6_final.html	MANUSCRIPT	publication artifact	frozen transcript-level manuscript	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	688834	36132f391319c855302405e300d29f6e2f8f834fdeec0c601fccbaeb61b38694	Required to understand, inspect, or reuse the frozen v6 package
manuscript/LOX_thymus_aging_public_preprint_v6_final.md	MANUSCRIPT	publication artifact	frozen transcript-level manuscript	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	55013	f660206bec4b6e3a35c97edbdfc734dd39888ae43f630d657fc7a506048259c1	Required to understand, inspect, or reuse the frozen v6 package
manuscript/LOX_thymus_aging_public_preprint_v6_final.pdf	MANUSCRIPT	publication artifact	frozen transcript-level manuscript	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	997147	6ff609a1e93208bcc007330c41859c671371ea57addead296a6a57ac6a20bccb	Required to understand, inspect, or reuse the frozen v6 package
one_page_summary.md	RELEASE_METADATA	release metadata	public package documentation	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	1027	1505cf425211db11e692216e8f9a6b69d75b9cc4c05e32dc550ff22ed4042e50	Required to understand, inspect, or reuse the frozen v6 package
README.md	RELEASE_METADATA	release metadata	public package documentation	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	2012	8f99963ac21604caae0c80c0eb23258738331795aecb5eb169e1118c1bc2bb54	Required to understand, inspect, or reuse the frozen v6 package
RELEASE_MANIFEST.tsv	RELEASE_METADATA	release inventory	public package documentation	final assembly	final assembly	generated manifest; self-checksum in checksum index	SELF_REFERENTIAL	SEE_CHECKSUM_INDEX	Defines every asset in this snapshot
RELEASE_NOTES.md	RELEASE_METADATA	release metadata	public package documentation	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	1201	65181229d2d3d8dc95798b26f454183b01d192895033575a4a09d750a8440f6b	Required to understand, inspect, or reuse the frozen v6 package
reproducibility/environment.yml	REPRODUCIBILITY	inspection guidance	public package documentation	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	463	145a0af43ca7eb729fe0ecfc607227a7c897addcfdafeb7496cdb6ff7371ede6	Required to understand, inspect, or reuse the frozen v6 package
reproducibility/README.md	REPRODUCIBILITY	inspection guidance	public package documentation	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	958	d709b7e61356cdc15f985f52e4d7259ce786f66ee9a232582ce4a44a2643d327	Required to understand, inspect, or reuse the frozen v6 package
reproducibility/REPRODUCTION_INSTRUCTIONS.md	REPRODUCIBILITY	inspection guidance	public package documentation	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	958	d709b7e61356cdc15f985f52e4d7259ce786f66ee9a232582ce4a44a2643d327	Required to understand, inspect, or reuse the frozen v6 package
reproducibility/requirements.txt	REPRODUCIBILITY	inspection guidance	public package documentation	repository-relative provenance	final assembly	copied, authored, or rendered without scientific recomputation	441	762a838747f450c47c24384d35950a5a91a78ca933b2dfbf201556dba2489f85	Required to understand, inspect, or reuse the frozen v6 package
tables/final_external_evidence_v6.tsv	AUTHORITATIVE_TABLE	verification table	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	2148	eef3ddd089e551b538cb69bae62cd6fb0f769e74a8004f2adc3f7e6be5f3adf5	Required to understand, inspect, or reuse the frozen v6 package
tables/final_focal_results_v6.tsv	AUTHORITATIVE_TABLE	verification table	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	1185	7bf0b5e16f08974ffe0e60314d74d3331c043bc4a0f15b55e7b7b19f8a2ab281	Required to understand, inspect, or reuse the frozen v6 package
tables/final_known_limitations_v6.tsv	AUTHORITATIVE_TABLE	verification table	public package documentation	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	1339	eb046af803401f34737e81b8bf617b98f48599ae0683c843d4cc51008c25d181	Required to understand, inspect, or reuse the frozen v6 package
tables/gse231906_barcode_join_audit_v6.tsv	AUTHORITATIVE_TABLE	verification table	detection context only	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	14569	97b5f113363ac940526732183e490b223ab005a2ab1f085652454dbd50aec0bb	Required to understand, inspect, or reuse the frozen v6 package
tables/gse231906_identity_summary_v6.tsv	AUTHORITATIVE_TABLE	verification table	detection context only	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	192	6e1d526bb45a4731643d8a92beebbc0e14375959e262d138b57945c08903b174	Required to understand, inspect, or reuse the frozen v6 package
tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	AUTHORITATIVE_TABLE	verification table	detection context only	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	217309	448ac72ba461cd72097df4e0f484d10f301470715764da2c00539c97cfd0bc67	Required to understand, inspect, or reuse the frozen v6 package
tables/gse231906_matrix_semantics_v6.tsv	AUTHORITATIVE_TABLE	verification table	detection context only	repository-relative provenance	v6 authority	copied, authored, or rendered without scientific recomputation	44262	e93a8d1a07b134e74d611103017a2f0861272d54cd5c22268fa524e690838bb3	Required to understand, inspect, or reuse the frozen v6 package
