path	existing_role	current_authority_status	current_permitted_use	superseded_by	conflict_type	public_release_eligible	notes
manuscript/pdf/LOX_thymus_aging_public_preprint_v5_6_gse231906_human_context.html	AUTHORITATIVE_RENDERING	CURRENT_AUTHORITATIVE	rendering of authoritative manuscript		narrative scope	YES	Subject to release-manifest checksum
manuscript/docx/LOX_thymus_aging_public_preprint_v5_6_gse231906_human_context.docx	AUTHORITATIVE_RENDERING	CURRENT_AUTHORITATIVE	submission rendering after visual QA		narrative scope	CONDITIONAL	Structural QA only; visual QA pending
manuscript/docx/LOX_thymus_aging_public_preprint_v5_6_gse231906_human_context_submission.zip	RELEASE_ARCHIVE	CURRENT_AUTHORITATIVE	submission archive after final checks		narrative scope	CONDITIONAL	Release-manifest controlled
README.md	REPOSITORY_ENTRYPOINT	CURRENT_AUTHORITATIVE	human-readable detection-only entrypoint		narrative scope	YES	Not primary scientific authority
one_page_summary.md	OUTREACH_SUMMARY	SUPPORTING_IMPLEMENTATION	detection-only collaborator context		narrative scope	NO	Excluded from publication release by authority policy
reports/v5_6_release_notes.md	RELEASE_NOTES	HISTORICAL	historical v5.6 release record	reports/GSE231906_INTEGRITY_GATE_v6.md	donor or aging narrative	NO	Do not use as strict numerical authority
reports/v5_6_release_safety_check.md	RELEASE_SAFETY_REPORT	HISTORICAL	historical audit provenance	reports/GSE231906_INTEGRITY_GATE_v6.md	pre-gate scope	NO	Not current scientific authority
PUBLICATION_READINESS_REPORT.md	AUDIT_REPORT	HISTORICAL	historical readiness audit	reports/GSE231906_INTEGRITY_GATE_v6.md	legacy join values and scope	NO	May quote older values only as superseded findings
PUBLIC_RELEASE_REMEDIATION_REPORT.md	REMEDIATION_REPORT	SUPPORTING_IMPLEMENTATION	current remediation context	RELEASE_GOVERNANCE_PRECEDENCE.md	authority scope	YES	Not primary scientific authority
results/tables/claim_evidence_registry_v5_6.tsv	CANDIDATE_CLAIM_REGISTRY	SUPERSEDED	provisional support only for non-overlapping claims	manifests/claim_registry_v6.tsv	donor-level language and overlapping claim authority	NO	Cannot override v6 registry
results/tables/repository_contradictions_v5_6.tsv	AUDIT_TABLE	HISTORICAL	historical contradiction evidence	reports/GSE231906_INTEGRITY_GATE_v6.md	388986 and 0.658703	NO	Retains legacy values as provenance
results/tables/cross_dataset_lox_validation_matrix.tsv	CROSS_DATASET_MATRIX	SUPERSEDED	non-GSE231906 historical context only	manifests/claim_registry_v6.tsv	stale metadata-only or cross-dataset role	NO	GSE231906 row is not current authority
reports/COMPUTATIONAL_GAP_AUDIT_v5_6.md	AUDIT_REPORT	HISTORICAL	historical audit documenting legacy aggregate	reports/GSE231906_INTEGRITY_GATE_v6.md	388986 and 0.658703	NO	Older figures retained only as superseded
reports/COMPUTATIONAL_GAP_AUDIT_v5_6.json	AUDIT_DATA	HISTORICAL	historical audit provenance	reports/GSE231906_INTEGRITY_GATE_v6.md	legacy join and donor language	NO	Not current authority
reports/COMPUTATIONAL_NEXT_ACTION_PLAN_v5_6.md	PLANNING_REPORT	HISTORICAL	historical planning provenance	reports/GSE231906_INTEGRITY_GATE_v6.md	donor-level or aging plan	NO	No donor analysis is currently authorized
reports/gse231906_human_external_validation.md	LEGACY_REPORT	DEPRECATED	historical provenance only	reports/GSE231906_INTEGRITY_GATE_v6.md	validation language	NO	Not human validation
reports/gse231906_human_metadata_only_plan.md	LEGACY_PLAN	HISTORICAL	historical planning provenance	reports/GSE231906_INTEGRITY_GATE_v6.md	pre-expression metadata scope	NO	Not current endpoint authority
reports/human_thymus_stage4_gse231906_aging_context_summary.md	LEGACY_REPORT	DEPRECATED	historical provenance only	reports/GSE231906_INTEGRITY_GATE_v6.md	aging-model or donor-level language	NO	No donor-level aging inference authorized
reports/human_thymus_stage4_gse231906_archive_manifest_report.md	ARCHIVE_REPORT	HISTORICAL	input/archive provenance only	manifests/input_files_v6.tsv	archive status	NO	Not scientific authority
reports/human_thymus_stage4_gse231906_balanced_report.md	LEGACY_REPORT	DEPRECATED	historical provenance only	reports/GSE231906_INTEGRITY_GATE_v6.md	donor and mean-expression wording	NO	Excluded from release
reports/human_thymus_stage4_gse231906_decision_memo.md	LEGACY_MEMO	HISTORICAL	historical decision provenance	reports/GSE231906_INTEGRITY_GATE_v6.md	pre-gate authority	NO	Not current authority
reports/human_thymus_stage4_gse231906_disk_space_check.md	OPERATIONS_REPORT	HISTORICAL	disk planning provenance	manifests/input_files_v6.tsv	none	NO	Not scientific authority
reports/human_thymus_stage4_gse231906_file_check.md	FILE_CHECK	HISTORICAL	historical file provenance	reports/GSE231906_INTEGRITY_GATE_v6.md	pre-gate output status	NO	Not current authority
reports/human_thymus_stage4_gse231906_join_pilot_report.md	PILOT_REPORT	SUPERSEDED	one-unit pilot provenance	results/tables/gse231906_barcode_join_audit_v6.tsv	pilot rate and non-aggregate join	NO	0.909477 is not aggregate
reports/human_thymus_stage4_gse231906_metadata_audit.md	METADATA_AUDIT	HISTORICAL	metadata schema provenance	results/tables/gse231906_identity_mapping_v6.tsv	donor or person identity	NO	Identity remains provisional
reports/human_thymus_stage4_gse231906_one_page_summary.md	LEGACY_SUMMARY	DEPRECATED	historical provenance only	reports/GSE231906_INTEGRITY_GATE_v6.md	donor, aging or validation wording	NO	Excluded from release
reports/human_thymus_stage4_gse231906_pilot_extract_report.md	PILOT_REPORT	HISTORICAL	pilot extraction provenance	results/tables/gse231906_unit_ledger_v6.tsv	pilot versus all-unit scope	NO	Not aggregate authority
reports/human_thymus_stage4_gse231906_safety_check.md	LEGACY_SAFETY_REPORT	HISTORICAL	historical audit provenance	reports/GSE231906_INTEGRITY_GATE_v6.md	pre-gate safety boundary	NO	Not current authority
results/figures/human_thymus_stage4_gse231906/gse231906_lox_family_detection_by_compartment.png	LEGACY_FIGURE	DEPRECATED	historical visualization only	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	legacy joins and aggregation	NO	Do not use for current inference
results/figures/human_thymus_stage4_gse231906/gse231906_loxl2_detection_by_age_mtec_like.png	LEGACY_FIGURE	REMOVE_FROM_RELEASE	historical visualization only	reports/GSE231906_INTEGRITY_GATE_v6.md	aging-model implication	NO	No age inference authorized
results/figures/human_thymus_stage4_gse231906/gse231906_sample_coverage_by_age_compartment.png	LEGACY_FIGURE	DEPRECATED	historical coverage visualization only	results/tables/gse231906_unit_ledger_v6.tsv	donor or age grouping	NO	Not current authority
results/tables/external_gse231906_human_lox_by_donor.tsv	LEGACY_TABLE	DEPRECATED	historical provenance only	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	donor and validation language	NO	No verified donor inference
results/tables/external_gse231906_human_lox_summary.tsv	LEGACY_TABLE	DEPRECATED	historical provenance only	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	validation or donor language	NO	Not current authority
results/tables/human_thymus_stage4_gse231906_aging_context_summary.tsv	LEGACY_TABLE	DEPRECATED	historical provenance only	reports/GSE231906_INTEGRITY_GATE_v6.md	aging-model inference	NO	No aging model authorized
results/tables/human_thymus_stage4_gse231906_archive_manifest.tsv	ARCHIVE_LEDGER	HISTORICAL	archive member provenance	results/tables/gse231906_unit_ledger_v6.tsv	pre-gate unit authority	NO	Not endpoint authority
results/tables/human_thymus_stage4_gse231906_celltype_counts.tsv	LEGACY_TABLE	DEPRECATED	historical provenance only	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	legacy joins	NO	Not current authority
results/tables/human_thymus_stage4_gse231906_donor_age_summary.tsv	LEGACY_TABLE	REMOVE_FROM_RELEASE	historical provenance only	results/tables/gse231906_identity_mapping_v6.tsv	donor and aging inference	NO	Identity not verified
results/tables/human_thymus_stage4_gse231906_gene_presence_pilot.tsv	PILOT_TABLE	HISTORICAL	pilot gene-presence provenance	results/tables/gse231906_matrix_semantics_v6.tsv	pilot scope	NO	Not aggregate authority
results/tables/human_thymus_stage4_gse231906_join_pilot_summary.tsv	PILOT_TABLE	SUPERSEDED	one-unit pilot provenance	results/tables/gse231906_barcode_join_audit_v6.tsv	pilot rate and permissive join	NO	Not aggregate authority
results/tables/human_thymus_stage4_gse231906_lox_detection_by_age_subtype.tsv	LEGACY_TABLE	REMOVE_FROM_RELEASE	historical provenance only	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	age and donor aggregation	NO	No aging inference
results/tables/human_thymus_stage4_gse231906_lox_detection_by_broad_compartment.tsv	LEGACY_TABLE	DEPRECATED	historical provenance only	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	legacy permissive join	NO	Use strict unit detection endpoint instead
results/tables/human_thymus_stage4_gse231906_lox_detection_by_donor_subtype.tsv	LEGACY_TABLE	REMOVE_FROM_RELEASE	historical provenance only	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	donor identity and permissive join	NO	No donor inference
results/tables/human_thymus_stage4_gse231906_lox_detection_by_fine_celltype.tsv	LEGACY_TABLE	DEPRECATED	historical provenance only	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	legacy permissive join	NO	Not current authority
results/tables/human_thymus_stage4_gse231906_lox_expression_by_donor_subtype.tsv	LEGACY_EXPRESSION_TABLE	DEPRECATED	historical provenance only	results/tables/gse231906_loxfamily_mean_within_unit_descriptive_only_cross_unit_not_allowed_donor_inference_not_allowed_v6.tsv	semantically mislabeled mean expression and donor identity	NO	Detection columns copied; no valid cross-unit means
results/tables/human_thymus_stage4_gse231906_lox_family_context_matrix.tsv	LEGACY_CONTEXT_TABLE	SUPERSEDED	historical provenance only	manifests/claim_registry_v6.tsv	cross-dataset or aging synthesis	NO	Not current claim authority
results/tables/human_thymus_stage4_gse231906_loxl2_mtec_like_summary.tsv	LEGACY_TABLE	REMOVE_FROM_RELEASE	historical provenance only	reports/GSE231906_INTEGRITY_GATE_v6.md	aging-model implication	NO	No donor-level age association
results/tables/human_thymus_stage4_gse231906_matrix_file_candidates.tsv	INPUT_DISCOVERY_TABLE	HISTORICAL	input discovery provenance	results/tables/gse231906_unit_ledger_v6.tsv	pre-gate file authority	NO	Not scientific endpoint
results/tables/human_thymus_stage4_gse231906_metadata_fields.tsv	METADATA_SCHEMA_TABLE	HISTORICAL	metadata schema provenance	results/tables/gse231906_identity_mapping_v6.tsv	donor or person labels	NO	Labels do not establish persons
results/tables/human_thymus_stage4_gse231906_pilot_extracted_files.tsv	PILOT_FILE_LEDGER	HISTORICAL	pilot extraction provenance	results/tables/gse231906_unit_ledger_v6.tsv	pilot scope	NO	Not aggregate authority
results/tables/human_thymus_stage4_gse231906_target_compartment_inventory.tsv	LEGACY_TABLE	HISTORICAL	annotation inventory provenance	results/tables/gse231906_loxfamily_detection_by_unit_sample_v6.tsv	legacy aggregation	NO	Not current endpoint authority
results/tables/human_thymus_stage4_gse231906_target_gene_cell_metadata_join_summary.tsv	LEGACY_JOIN_TABLE	SUPERSEDED	historical join provenance	results/tables/gse231906_barcode_join_audit_v6.tsv	388986, 0.658703 and permissive substring unit matching	NO	Strict v6 join replaces aggregate authority
scripts/external_validation_gse231906_human_lox.py	LEGACY_IMPLEMENTATION	DEPRECATED	historical implementation provenance	scripts/run_phase0_gse231906_integrity_gate.py	validation and donor wording	NO	Do not use for current authority
scripts/human_thymus_stage4_gse231906_aging_context_summary.py	LEGACY_IMPLEMENTATION	DEPRECATED	historical implementation provenance	scripts/run_phase0_gse231906_integrity_gate.py	aging-model aggregation	NO	No donor-level model authorized
scripts/human_thymus_stage4_gse231906_archive_manifest.py	LEGACY_IMPLEMENTATION	HISTORICAL	archive inventory provenance	scripts/run_phase0_gse231906_integrity_gate.py	pre-gate unit inventory	NO	Not endpoint generator
scripts/human_thymus_stage4_gse231906_join_pilot.py	PILOT_IMPLEMENTATION	SUPERSEDED	historical pilot provenance	scripts/run_phase0_gse231906_integrity_gate.py	pilot join and non-aggregate rate	NO	Not strict all-unit generator
scripts/human_thymus_stage4_gse231906_metadata_audit.py	LEGACY_IMPLEMENTATION	HISTORICAL	metadata audit provenance	scripts/run_phase0_gse231906_integrity_gate.py	donor or person labels	NO	Identity remains provisional
scripts/human_thymus_stage4_gse231906_pilot_extract.py	PILOT_IMPLEMENTATION	HISTORICAL	pilot extraction provenance	scripts/run_phase0_gse231906_integrity_gate.py	pilot scope	NO	Not aggregate generator
scripts/human_thymus_stage4_gse231906_target_gene_extract.py	LEGACY_IMPLEMENTATION	SUPERSEDED	historical implementation provenance	scripts/run_phase0_gse231906_integrity_gate.py	permissive substring unit matching and mislabeled means	NO	Source of legacy 388986/0.658703 lineage
scripts/build_cross_dataset_lox_matrix.py	LEGACY_SYNTHESIS_IMPLEMENTATION	SUPERSEDED	non-GSE231906 historical provenance	manifests/claim_registry_v6.tsv	cross-dataset GSE231906 synthesis	NO	Must not promote detection context to replication
